season,game_id,date,home_team,away_team,home_win,home_era,home_whip,home_k9,home_bb9,away_era,away_whip,away_k9,away_bb9,home_ops,home_kpct,away_ops,away_kpct,era_diff,k9_diff,ops_diff,home_fip,away_fip,fip_diff
2023,718780,2023-03-30,Washington Nationals,Atlanta Braves,0,5.2,1.48,6.2,2.85,2.55,1.13,9.27,2.09,0.712,18.9,0.853,20.6,-2.6500000000000004,-3.0699999999999994,-0.141,5.056,2.907,-2.149
2023,718781,2023-03-30,New York Yankees,San Francisco Giants,1,2.63,0.98,9.56,2.07,3.25,1.07,8.08,1.29,0.709,23.9,0.74,24.5,0.6200000000000001,1.4800000000000004,-0.031,2.909,2.938,0.0290000000000003
2023,718782,2023-03-30,Boston Red Sox,Baltimore Orioles,0,7.04,1.64,6.87,3.44,4.73,1.32,7.36,2.58,0.762,22.2,0.752,22.4,-2.31,-0.4900000000000002,0.01,6.736,3.881,-2.855
2023,718777,2023-03-30,Chicago Cubs,Milwaukee Brewers,1,3.95,1.26,7.84,3.42,3.39,1.07,9.29,3.07,0.723,22.4,0.695,23.2,-0.56,-1.4499999999999993,0.028,3.356,3.534,0.1779999999999999
2023,718776,2023-03-30,Tampa Bay Rays,Detroit Tigers,1,3.29,1.18,9.47,3.21,3.3,1.15,8.43,2.83,0.79,23.0,0.644,24.2,0.0099999999999997,1.040000000000001,0.146,3.761,3.447,-0.314
2023,718779,2023-03-30,Texas Rangers,Philadelphia Phillies,1,2.67,0.76,13.35,1.19,4.46,1.15,9.39,2.09,0.78,22.5,0.727,23.9,1.79,3.959999999999999,0.053,1.386,3.859,2.473
2023,718773,2023-03-30,Cincinnati Reds,Pittsburgh Pirates,0,4.82,1.42,12.21,3.86,4.21,1.25,9.73,2.55,0.727,24.2,0.698,24.0,-0.6100000000000003,2.4800000000000004,0.029,3.877,3.46,-0.4169999999999998
2023,718772,2023-03-30,St. Louis Cardinals,Toronto Blue Jays,0,4.78,1.32,6.12,1.74,5.87,1.74,8.14,6.08,0.778,21.4,0.736,20.9,1.09,-2.0200000000000005,0.042,3.999,5.55,1.5509999999999995
2023,718775,2023-03-30,Kansas City Royals,Minnesota Twins,0,5.06,1.27,6.13,1.45,3.66,1.15,10.86,2.23,0.685,23.3,0.698,26.6,-1.3999999999999997,-4.73,-0.0129999999999999,4.505,3.038,-1.467
2023,718774,2023-03-30,Miami Marlins,New York Mets,0,4.14,1.21,7.36,2.34,3.77,1.12,10.26,2.65,0.683,21.3,0.742,22.0,-0.3699999999999996,-2.8999999999999995,-0.0589999999999999,3.793,4.089,0.2960000000000002
2023,718768,2023-03-30,Houston Astros,Chicago White Sox,0,3.45,1.13,9.09,2.59,4.58,1.42,10.88,4.02,0.768,19.8,0.694,23.8,1.13,-1.790000000000001,0.074,3.191,3.416,0.2250000000000001
